lat,lon,speed,direction
0,-110,25,105
0,-100,19,100
0,-90,16,105
0,-80,1,135
0,-70,4,215
0,-60,9,60
0,-50,11,40
0,-40,26,50
0,-30,23,40
0,-20,15,80
0,-10,10,130
0,0,14,185
0,10,6,235
0,20,3,75
0,30,4,90
0,40,8,75
0,50,19,40
0,60,17,35
0,70,13,350
0,80,10,325
0,90,14,250
0,100,5,230
0,110,4,250
0,120,7,290
0,130,26,350
0,140,23,325
0,150,10,40
0,160,14,70
0,170,22,5
0,180,24,70
10,-170,31,70
10,-160,27,55
10,-150,29,90
10,-140,43,60
10,-130,38,60
10,-120,38,60
10,-110,33,80
10,-100,21,80
10,-90,34,60
10,-80,19,20
10,-70,9,95
10,-60,27,95
10,-50,33,75
10,-40,34,60
10,-30,31,35
10,-20,41,15
10,-10,8,270
10,0,3,175
10,10,12,65
10,20,6,105
10,30,4,60
10,40,13,100
10,50,25,90
10,60,8,30
10,70,13,330
10,80,5,175
10,90,10,10
10,100,17,95
10,110,13,165
10,120,4,35
10,130,17,50
10,140,33,65
10,150,32,70
10,160,29,70
10,170,35,75
10,180,32,65
20,-170,32,55
20,-160,15,15
20,-150,11,145
20,-140,25,120
20,-130,29,50
20,-120,32,50
20,-110,21,335
20,-100,6,175
20,-90,24,110
20,-80,29,55
20,-70,15,315
20,-60,25,140
20,-50,30,105
20,-40,31,75
20,-30,27,40
20,-20,27,10
20,-10,13,165
20,0,15,110
20,10,13,10
20,20,8,170
20,30,8,15
20,40,11,240
20,50,21,80
20,60,5,275
20,70,23,300
20,80,11,340
20,90,10,225
20,100,4,315
20,110,2,155
20,120,13,295
20,130,12,155
20,140,11,50
20,150,10,40
20,160,15,80
20,170,21,95
20,180,21,90
30,-170,16,20
30,-160,27,315
30,-150,38,210
30,-140,36,155
30,-130,17,85
30,-120,34,350
30,-110,5,340
30,-100,26,180
30,-90,6,90
30,-80,20,45
30,-70,46,35
30,-60,34,195
30,-50,24,155
30,-40,14,120
30,-30,33,20
30,-20,13,20
30,-10,20,335
30,0,27,110
30,10,19,15
30,20,40,320
30,30,34,275
30,40,23,180
30,50,13,250
30,60,17,315
30,70,19,235
30,80,10,230
30,90,16,315
30,100,4,330
30,110,7,90
30,120,3,35
30,130,28,100
30,140,9,140
30,150,28,75
30,160,19,345
30,170,27,225
30,180,17,215
40,-170,27,60
40,-160,35,70
40,-150,52,85
40,-140,11,125
40,-130,21,270
40,-120,6,285
40,-110,21,275
40,-100,18,60
40,-90,8,340
40,-80,11,230
40,-70,26,205
40,-60,17,80
40,-50,43,75
40,-40,25,40
40,-30,15,240
40,-20,18,20
40,-10,15,190
40,0,20,145
40,10,13,30
40,20,14,325
40,30,26,30
40,40,9,30
40,50,20,35
40,60,11,320
40,70,14,260
40,80,15,60
40,90,14,60
40,100,10,30
40,110,30,335
40,120,9,185
40,130,22,120
40,140,6,335
40,150,43,310
40,160,56,275
40,170,20,275
40,180,52,165
50,-170,34,180
50,-160,10,0
50,-150,8,140
50,-140,19,30
50,-130,16,25
50,-120,1,330
50,-110,11,295
50,-100,19,225
50,-90,8,245
50,-80,10,245
50,-70,12,315
50,-60,37,210
50,-50,46,210
50,-40,7,185
50,-30,47,15
50,-20,25,200
50,-10,16,180
50,0,16,65
50,10,9,105
50,20,14,300
50,30,19,280
50,40,22,295
50,50,17,270
50,60,23,285
50,70,16,235
50,80,12,155
50,90,7,170
50,100,10,325
50,110,6,290
50,120,10,0
50,130,5,285
50,140,6,305
50,150,48,345
50,160,46,350
50,170,68,175
50,180,55,175
60,-170,46,150
60,-160,3,100
60,-150,5,125
60,-140,4,240
60,-130,7,265
60,-120,10,145
60,-110,5,315
60,-100,20,315
60,-90,30,310
60,-80,26,255
60,-70,49,250
60,-60,39,300
60,-50,42,180
60,-40,46,245
60,-30,55,275
60,-20,48,260
60,-10,44,260
60,0,29,260
60,10,21,240
60,20,29,260
60,30,27,260
60,40,19,210
60,50,5,210
60,60,4,95
60,70,14,130
60,80,16,125
60,90,6,135
60,100,7,320
60,110,7,235
60,120,3,160
60,130,3,320
60,140,7,325
60,150,18,355
60,160,31,35
60,170,42,60
60,180,50,155
70,-170,12,250
70,-160,22,235
70,-150,29,235
70,-140,22,265
70,-130,12,270
70,-120,25,260
70,-110,15,270
70,-100,10,200
70,-90,20,335
70,-80,26,10
70,-70,17,45
70,-60,30,120
70,-50,32,120
70,-40,10,105
70,-30,23,265
70,-20,32,340
70,-10,37,330
70,0,50,280
70,10,70,275
70,20,64,265
70,30,46,270
70,40,62,275
70,50,52,200
70,60,41,190
70,70,21,215
70,80,20,220
70,90,19,200
70,100,16,240
70,110,14,240
70,120,11,265
70,130,19,260
70,140,16,230
70,150,19,255
70,160,25,210
70,170,18,170
70,180,4,165
80,-170,14,240
80,-160,18,280
80,-150,15,230
80,-140,14,235
80,-130,10,240
80,-120,12,155
80,-110,17,160
80,-100,22,160
80,-90,8,250
80,-80,7,125
80,-70,9,215
80,-60,21,185
80,-50,34,220
80,-40,39,255
80,-30,16,295
80,-20,22,350
80,-10,49,255
80,0,55,15
80,10,58,35
80,20,53,45
80,30,52,75
80,40,48,105
80,50,30,100
80,60,17,100
80,70,11,130
80,80,5,260
80,90,15,295
80,100,27,285
80,110,22,295
80,120,18,270
80,130,20,265
80,140,18,215
80,150,16,205
80,160,22,205
80,170,17,175
80,180,17,180
